Cluster ID , Title , Volume , Scribe (Schlüter) , Scribe (Duncan) 
1 , A Gillu gairm n ilgrada ,  1 , T , T1 
 1 , Cinti crábuid gnathaigthe scoile Sinchil ,  6 , A , A 
 1 , Cormac mac Culennain Iarfaiged nech acaib dam ,  1 , T , T1 
 1 , Diarmait mac Cerbaill mairg thocheas rí clerchib ceil ,  3 , U , U 
 1 , Dublitir hua Uathgaile rédig dam a Dé do nim ,  3 , U , U 
 1 , Dubthach hua Lugair Andsu immarbáig ri Lagnib ,  1 , A , A 
 1 , Dubthach hua Lugair Crimthan clothrí cóicid Hérend ,  1 , A , A 
 1 , Feidlimid athair Echach ,  1 , A(?) , A 
 1 , Fland Fina in rigan ecanaid óg fíal ,  3 , U , A + U 
 1 , Fland Fína Ro ddet a hInis find Fáil ,  1 , A , A 
 1 , Fland Mugain ingen Chonchraid chain ,  3 , U , U 
 1 , Fothad na Canone Cert cech ríg co rréil ,  3 , U , U 
 1 , Fothad na Canone Eclais Dé bí ,  3 , U , U 
 1 , Gilla Cóemáin Annalad anall uile ,  3 , U , U 
 1 , Gilla Mo Dutu Ádam óenathair na ndórene ,  3 , U , U 
 1 , Gilla in Chomded úa Cormaic a ríg ríchid reidig dam ,  3 , U , U 
 1 , Gilla na Naem Hua Duind Cuiced Lagen na lecht ríg ,  1 , A , A 
 1 , Mac Cosse of Ros Ailither Rofessa i curp domuin dúir ,  3 , U , U 
 1 , Teist Chathail meic Finguine ,  3 , U , U 
 1 , Trí Fothaid Elgga cen chron ,  3 , U , U 
 2 , Angluind a n-echta a n-orgni batar infhir ,  4 , U , U 
 2 , Ascnam ni seol sadal ,  4 , U , U 
 2 , Brislech Mór Maige Muirthemni ,  2 , U , U 
 2 , Cind cethri ndíni iar Frigrind ,  4 , U , U 
 2 , Cináed húa Artacáin Fíanna Bátar i nEmain , 1 , A , A 
 2 , Echta Lagen for Leth Cuind ,  1 , A , A 
 2 , Fland Mainistrech Ríg Themra dia tesband tnú ,  3 , U , U 
 2 , Fland Manistrech Inn eól dúib in senchas sen ,  3 , U , U 
 2 , Gilla Cóemáin Hériu ard inis na rríg ,  3 , A , A 
 2 , Guidim Comdid cumachtach ,  1 , A , A 
 2 , Inis Dornglais ro gab Crimthann ,  4 , A , A 
 2 , Mael Muru Othna Can a mbunadas na nGaedel ,  3 , U , U 
 2 , Marb Cairpre Músc co n-áne ,  1 , T , T2 
 2 , Mide magen clainne Cuind , 4 , U , U
 2 , Mugdorn ingen Moga Duib Conan gilla Find , 4 , A , A 
 2 , Ossin Ogum i llia lia úas lecht ,  3 , U , U 
 2 , Síl Aeda Sláne na sleg ,  4 , U , U 
 2 , Turim Tigi Temrach ,  1 , T , T2 
 3 , A Maccáin ná cí ,  3 , U , U 
 3 , Ailill Ólomm beir mo scíath fri úath ,  3 , U , U 
 3 , Aní doronsat do chalmu clanna Eogain ,  4 , U , U 
 3 , Cinaed úa hArtacain a cholch thall for elaid úair ,  3 , U , U 
 3 , Dallán mac Móre Cerball Currig cáemLife ,  1 , A , A 
 3 , Dallán mac Móre Cormac Femin Fogertach ,  1 , A + T + 2 , T2 (over A) 
 3 , Dían airing ,  1 , T , T1
 3 , Orthanach húa Cáellama A Chóicid chóem Chairpri chrúaid ,  1 , A , A 
 4 , A ben bennacht fort na raid ,  5 , F , F 
 4 , Aided Derb Forgaill ,  2 , U , U 
 4 , Aided Meidbe ,  2 , U , U 
 4 , Audacht Morainn ,  5 , S , S 
 4 , Clanna Ailella Uluim uill ,  3 , U , U 
 4 , Cathcharpat serda ,  4 , A , A 
 4 , De Gabail intSida ,  5 , F , F 
 4 , De dúlib feda na fored ,  1 , T , T1 
 4 , Dá brón flatha nime ,  5 , F , F 
 4 , Días macclerech ,  5 , F , F 
 4 , Echtra Laegaire meic Crimthainn ,  5 , F , F 
 4 , Fechtas aile do MLing is Toídin ,  5 , (F?) , F 
 4 , Mo Lling Luachra dalta do Maehóc Ferna ,  5 , (F?) , F 
 4 , Mo Lling Rochúala la nech légas libru ,  3 , U  , U 
 4 , Nuallguba Emire ,  2 , U , U 
 4 , Senchán Torpéist Apair ri sil nEogain Móir ,  3 , U , U 
 4 , Slan seiss a Brigit co mbuaid ,  1 , A , A 
 4 , Túathal Techtmar ba rí Temrach ,  1 , A(?) , A 
 4 , Esnada Tige Buchet ,  5 , F , F 
 5 , Cu Chulaind atbert. De aduentu Christi ,  2 , U , U 
 5 , Maiccni Echach ard a ṅgle ,  3 , U , U 
 6 , A Chormaic coisc do maicni ,  3 , U , U 
 6 , Audacht Moraind ,  6 , A , A 
 6 , Augaine Már mac ríg Hérend ,  1 , A(?) , A 
 6 , Ciaran cecinit ,  6 , A , A 
 6 , Dialogue between Brendan and Moínenn ,  6 , A , A 
 6 , Fiacail Patric ,  6 , A , A 
 6 , Fochond Loingse Fergusa meic Roig ,  5 , F , F 
 6 , Macclerech do muntir Ferna móire ,  5 , (F?) , F 
 6 , Messe bad rí réil ,  3 , U , U 
 6 , Senbriathra Fithail ,  6 , A , A 
 6 , Tecosca Cormaic ,  6 , A , A 
 6 , Táin Bó Flidais ,  5 , F , F 
 7 , Brandub mac Echach ,  1 , A , A 
 7 , Cethri srotha déc éicsi ,  1 , T , T1 
 7 , Fithal ⁊ Cormac Níba mé linfes do neoch dara thráth ,  3 , U , U 
 7 , Orthanach húa Cáelláma Masu de chlaind Echdach aird ,  1 , A , T1 (over A) 
 7 , Secht mbémmend Brandub for Brega ,  1 , A , A 
 8 , Birth of Brendan ,  6 , A , A 
 8 , Broccán Craibdech Lecht Cormaic meic Culennáin ,  1 , A , A 
 8 , Bórama ,  5 , S , S 
 8 , Cellach Húa Rúanada sluindfet dúib dagaisti in dana ,  1 , T , T1 
 8 , Cethrur ar fichet nosfail ,  6 , A , A 
 8 , Clanna Falge Ruis in ríg ,  1 , A , A 
 8 , Colum Cille cecinit ,  6 , A , A 
 8 , Connachta cid dia tá in t-ainm ,  1 , T , T1 
 8 , Cuan Hua Lothchain Temair breg bale na fian ,  1 , A , A 
 8 , Epscop Ibar ,  6 , A , A 
 8 , Gilla Cóemáin attá sund forba fessa ,  3 , U , U 
 8 , Rig Themra toebaige iar tain ,  3 , U , U 
 8 , Sarbili anim Mo Ninni ,  6 , A , A 
 8 , Scrín Adomnáin ,  6 , A , A 
 8 , Trea ropo maith in ben ,  6 , A , A 
 8 , Táin Bó Cúalnge ,  2 , T (+ F) ,  T1 + F 
 8 , Étsecht Luin Garad ,  6 , A , A 
 8 , Úar in lathe do Lum Luine ,  3 , U , U 
 9 , A bairgen ataí i ngábud ,  1 , A , A 
 9 , Aided Cheltchair meic Uthechair ,  2 , U , U 
 9 , Aided Choncobuir ,  2 , U , U 
 9 , Aided Cuanach meic Ailchini ,  5 , F + A , F 
 9 , Aided Guill meic Carbada ⁊ Aided Gairb Glinne Rigi , 2 , U , U 
 9 , Aigidecht Aithirne ,  2 , U , U 
 9 , Baí rí amra de Grécaib Salemón a ainm ,  5 , F , F 
 9 , Beochobra Con Culaind isind ló fúair bás ,  2 , F , U 
 9 , Buí siur Mo Lassi Lethglinni oc légund i fail Mo Lasse , 5 , F , F 
 9 , Caillech dorat a mac dósum do MLing ,  5 , (F?) , F 
 9 , Cath Carn Chonaill ,  5 , F , F 
 9 , Cath Maige Mucrima ,  5 , F (+ S) , F + S 
 9 , Cethrur macclerech ,  5 , F , F 
 9 , Cogad Gaedel re Gallaib ,  5 , T , T2 
 9 , Cormac mac Cuilennain cecinit ,  6 , T , T1 
 9 , Cummíne Fota mac Fiachnai di Eoganacht Chassil ,  5 , A , F 
 9 , Cóica epscop dodeochatar dochum MOedoc Ferna do Bretnaib Cille Muine ,  5 , F , F 
 9 , De Chophur in da Muccida ,  5 , F , F 
 9 , Dindgnai Temrach ,  1 , T , T1 
 9 , Do fallsigud Tána Bó Cualnge ,  5 , F , F 
 9 , Drochcomaithech ro baí i n-ocus dosom ,  5 , (F?) , F 
 9 , Epscop do Gaedelaib dochoid do Róim ,  5 , F , F 
 9 , Fechtas do Mling is Tóidin co n-acca Mael Doborchon ,  5 , (F?) , F 
 9 , Fechtas dósom oc ernaigthi ina eclais ,  5 , (F?) , F 
 9 , Fland Manistrech Cia triallaid nech aisnis ,  4 , U , U 
 9 , Fothart for trebaib Con Corbb ,  1 , A(?) , A 
 9 , Gormlaith ingen Flain cia dír do chlérchib na cell ,  1 , A , A 
 9 , Gormlaith ingen Flain tanic ar debaid ó Cherball mac Murician ,  1 , A + T + 2 , T2 
 9 , Iartaige na hingine colaige do Grécaib ,  5 , F , F 
 9 , Immacallam in dá Thúarad ,  4 , U , U 
 9 , Incipit Cath Ruis na Ríg ,  4 , A , A 
 9 , Incipit de maccaib Conaire ,  5 , S , S 
 9 , Longes Chonaill Chuirc ,  5 , F , F 
 9 , Longes mac nUsnig ,  5 , U (+ M) , U (+ M) 
 9 , Luid Feidilmid Rechtaid ó Themair do sáerchuaird for Laigniu ,  1 , A + T + 2 , T1 (over A) 
 9 , Luid Mael Ruain Tamlachta fechtas dia airge ,  5 , F , F 
 9 , Medb Lethderg Macc Moga Corbb celas clú ,  1 , A , A 
 9 , Mesca Ulad ,  5 , M , M 
 9 , Na Trí Fothaid ,  4 , A , A 
 9 , Noenden Ulad ⁊ Emuin Macha ,  2 , U , U 
 9 , Orgain Dind Ríg ,  5 , F , F 
 9 , Ri irissech ro boí do Grecaib ,  5 , F , F 
 9 , Scél Niall Frossach ,  5 , F + A , A 
 9 , Scél mucci Meic Da Thó ,  2 , U , U 
 9 , Scéla Chonchobuir ,  2 , F , F 
 9 , Senchas Ailiúin Chobthaig ,  5 , F , F 
 9 , Sloiged már rucsat Gréic co Hebríb fechtas n-aile ,  5 , F , F 
 9 , Story of Athirne Ailgessach and Midir of Brí Leith ,  2 , U , U 
 9 , Story of Athirne and Amairgen son of Ecet Salach and Aigidecht Aithirne ,  2 , U , U 
 9 , Talland Etair ,  2 , U , U 
 9 , Tech Midchúarda ,  1 , T , T1 
 9 , Temaile fáid Miled Espáin ,  4 , A , A 
 9 , Tochmarc Ferbae ,  5 , U , U 
 9 , Trefocul ,  1 , T , T2 
 9 , Triar macclerech ,  5 , F , F 
 9 , Tréide Cétna Labratar Iarna Genemain ,  2 , U , U 
 9 , Trí Dé Donand ,  1 , T , T1 
 9 , Táin Bó Fraích ,  5 , F , F 
 9 , Túarastla Rosa Failgi ,  1 , A + T + 2 , A 
 9 , Fingal Ronain ,  5 , F (+ A) , F 
 9 , Óenach Talten ,  5 , F + A , A 
